dataset,fold,method,metric_error,time_train_s,time_infer_s,metric,problem_type,metric_error_val,imputed,impute_method,method_type,method_subtype,config_type,ta_name,ta_suite
Amazon_employee_access,0,TABDPT_GPU (tuned + ensemble),0.14914708255585252,108682.93231081963,4262.731449127197,roc_auc,binary,0.14812122850942955,False,,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
Amazon_employee_access,0,REALTABPFN-V2.5 (default),0.16063001774931773,26.814018487930298,4.049386501312256,roc_auc,binary,0.16036906521671912,False,,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
Amazon_employee_access,0,REALTABPFN-V2.5 (tuned),0.15447695171767395,15730.28430223465,6.09505295753479,roc_auc,binary,0.15570710388894315,False,,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
Amazon_employee_access,0,REALTABPFN-V2.5 (tuned + ensemble),0.15383526099369116,15730.28430223465,63.469823598861694,roc_auc,binary,0.15439060509587776,False,,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
Amazon_employee_access,0,SAP-RPT-OSS (default),0.14688413680873902,220.0546691417694,93.94259214401245,roc_auc,binary,0.14546800811908145,False,,config,default,SAP-RPT-OSS,SAP-RPT-OSS,tabarena-2025-11-25
Amazon_employee_access,0,TABICLV2 (default),0.1496689992115514,28.005985260009766,1.4364476203918457,roc_auc,binary,0.15240270152082014,False,,config,default,TABICLV2,TabICLv2,tabarena-2026-02-16
Amazon_employee_access,0,TABSTAR (default),0.3511189880797895,3434.6214566230774,15.760044813156128,roc_auc,binary,0.35261470487861224,False,,config,default,TABSTAR,TabSTAR,tabarena-2026-03-18
Amazon_employee_access,0,TABSTAR (tuned),0.28472702275184536,237601.5785086155,15.553672790527344,roc_auc,binary,0.28860532364840896,False,,hpo,tuned,TABSTAR,TabSTAR,tabarena-2026-03-18
Amazon_employee_access,0,TABSTAR (tuned + ensemble),0.28472702275184536,237601.5785086155,15.553672790527344,roc_auc,binary,0.28860532364840896,False,,hpo,tuned_ensemble,TABSTAR,TabSTAR,tabarena-2026-03-18
Amazon_employee_access,0,PB (default),0.1947938409990786,22.14551067352295,0.3647804260253906,roc_auc,binary,0.19117621245121696,False,,config,default,PB,PerpetualBooster,tabarena-2026-03-18
Amazon_employee_access,0,PB (tuned),0.194835200722273,218.8412425518036,0.3647804260253906,roc_auc,binary,0.19116755102225025,False,,hpo,tuned,PB,PerpetualBooster,tabarena-2026-03-18
Amazon_employee_access,0,PB (tuned + ensemble),0.19176397220626606,218.8412425518036,4.407005548477173,roc_auc,binary,0.1899809544587442,False,,hpo,tuned_ensemble,PB,PerpetualBooster,tabarena-2026-03-18
Amazon_employee_access,0,TABPFN-V2.6 (default),0.14804612977543363,25.08793568611145,2.622377872467041,roc_auc,binary,0.1566477811665965,False,,config,default,TABPFN-V2.6,TabPFN-v2.6,tabarena-2026-03-18
Amazon_employee_access,0,TA-TABPFN-3 (default),0.15523142072032958,23.989835262298584,2.200887680053711,roc_auc,binary,0.15415010160374698,False,,config,default,TA-TABPFN-3,TabPFN-3,tabarena-2026-05-13
Amazon_employee_access,0,TA-ORION-MSP (default),0.21946153330487872,158.52199459075928,28.694066762924194,roc_auc,binary,0.22827891260848632,False,,config,default,TA-ORION-MSP,OrionMSP,tabarena-2026-05-13
Amazon_employee_access,0,TA-ILTM (default),0.21325580665913058,2703.3863372802734,87.34325385093689,roc_auc,binary,0.20745731749591367,False,,config,default,TA-ILTM,iLTM,tabarena-2026-05-13
Amazon_employee_access,0,TA-ILTM (tuned),0.12904441204001527,64520.0368347168,57.14666700363159,roc_auc,binary,0.14200885232609306,False,,hpo,tuned,TA-ILTM,iLTM,tabarena-2026-05-13
Amazon_employee_access,0,TA-ILTM (tuned + ensemble),0.1334622147409128,64520.0368347168,2852.02943110466,roc_auc,binary,0.12404431886119305,False,,hpo,tuned_ensemble,TA-ILTM,iLTM,tabarena-2026-05-13
Amazon_employee_access,0,RF [Rerun] (default),0.1584598623105602,1.9469411373138428,0.1266164779663086,roc_auc,binary,0.163255856115036,True,,config,default,RF [Rerun],RandomForest,example_tabarena_v0pt1_local
Amazon_employee_access,0,RF [Rerun] (tuned),0.1584598623105602,1.9469411373138428,0.1266164779663086,roc_auc,binary,0.163255856115036,True,,hpo,tuned,RF [Rerun],RandomForest,example_tabarena_v0pt1_local
Amazon_employee_access,0,RF [Rerun] (tuned + ensemble),0.1584598623105602,1.9469411373138428,0.1266164779663086,roc_auc,binary,0.163255856115036,True,,hpo,tuned_ensemble,RF [Rerun],RandomForest,example_tabarena_v0pt1_local
Amazon_employee_access,0,LR [Rerun] (default),0.1584598623105602,1.9469411373138428,0.1266164779663086,roc_auc,binary,0.163255856115036,True,,config,default,LR [Rerun],LinearModel,example_tabarena_v0pt1_local
Amazon_employee_access,0,LR [Rerun] (tuned),0.1584598623105602,1.9469411373138428,0.1266164779663086,roc_auc,binary,0.163255856115036,True,,hpo,tuned,LR [Rerun],LinearModel,example_tabarena_v0pt1_local
Amazon_employee_access,0,LR [Rerun] (tuned + ensemble),0.1584598623105602,1.9469411373138428,0.1266164779663086,roc_auc,binary,0.163255856115036,True,,hpo,tuned_ensemble,LR [Rerun],LinearModel,example_tabarena_v0pt1_local
Another-Dataset-on-used-Fiat-500,0,CAT (default),707.0458026370143,9.6342613697052,0.03249931335449219,rmse,regression,737.8352417223898,False,,config,default,CAT,CatBoost,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,CAT (tuned),707.2177838410694,3386.8960473537445,0.06416535377502441,rmse,regression,734.7366372015457,False,,hpo,tuned,CAT,CatBoost,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,CAT (tuned + ensemble),700.0401599757595,3386.8960473537445,0.8227088451385498,rmse,regression,725.3862995057301,False,,hpo,tuned_ensemble,CAT,CatBoost,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,XT (default),702.6109963219359,0.43534398078918457,0.06006932258605957,rmse,regression,768.0331611474074,False,,config,default,XT,ExtraTrees,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,XT (tuned),698.0185653275971,619.4238421916962,0.12293267250061035,rmse,regression,749.2127833308964,False,,hpo,tuned,XT,ExtraTrees,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,XT (tuned + ensemble),697.173809783452,619.4238421916962,1.2656607627868652,rmse,regression,746.0704307317967,False,,hpo,tuned_ensemble,XT,ExtraTrees,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,FASTAI (default),722.8558676971646,6.832155704498291,0.4053375720977783,rmse,regression,773.8414506895392,False,,config,default,FASTAI,NeuralNetFastAI,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,FASTAI (tuned),723.5120868617647,2193.8776445388794,0.15947961807250977,rmse,regression,766.5992181736817,False,,hpo,tuned,FASTAI,NeuralNetFastAI,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,FASTAI (tuned + ensemble),715.9773149444072,2193.8776445388794,6.275083303451538,rmse,regression,747.5028369893962,False,,hpo,tuned_ensemble,FASTAI,NeuralNetFastAI,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,GBM (default),727.096139944832,3.9934639930725098,0.044051170349121094,rmse,regression,753.9522846183239,False,,config,default,GBM,LightGBM,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,GBM (tuned),709.295159892907,976.5174241065979,0.11801981925964355,rmse,regression,732.9687240838588,False,,hpo,tuned,GBM,LightGBM,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,GBM (tuned + ensemble),694.7767230208133,976.5174241065979,1.9388444423675537,rmse,regression,721.3827178309504,False,,hpo,tuned_ensemble,GBM,LightGBM,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,MNCA_GPU (default),706.8392838285378,27.96918511390686,0.17882061004638672,rmse,regression,763.1179893571431,False,,config,default,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,MNCA_GPU (tuned),709.5030433305722,9604.35722541809,0.35201525688171387,rmse,regression,737.2673443405816,False,,hpo,tuned,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,MNCA_GPU (tuned + ensemble),688.4482178200285,9604.35722541809,4.4734203815460205,rmse,regression,673.2438151437227,False,,hpo,tuned_ensemble,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,NN_TORCH (default),742.7674922065685,15.828034162521362,0.06643533706665039,rmse,regression,785.4551106296499,False,,config,default,NN_TORCH,NeuralNetTorch,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,NN_TORCH (tuned),728.5593504604925,3717.6608102321625,0.06095480918884277,rmse,regression,763.1984012633088,False,,hpo,tuned,NN_TORCH,NeuralNetTorch,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,NN_TORCH (tuned + ensemble),724.9737034682473,3717.6608102321625,1.3678297996520996,rmse,regression,742.6165044388807,False,,hpo,tuned_ensemble,NN_TORCH,NeuralNetTorch,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,RF (default),727.2392705679738,0.49889492988586426,0.060329437255859375,rmse,regression,764.3137369787336,False,,config,default,RF,RandomForest,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,RF (tuned),702.9432002467729,630.387446641922,0.11566352844238281,rmse,regression,743.0084955423446,False,,hpo,tuned,RF,RandomForest,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,RF (tuned + ensemble),701.2809651242155,630.387446641922,0.7462565898895264,rmse,regression,739.2447609599865,False,,hpo,tuned_ensemble,RF,RandomForest,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,TABICL_GPU (default),727.2392705679738,0.49889492988586426,0.060329437255859375,rmse,regression,764.3137369787336,True,RandomForest_c1_BAG_L1,config,default,TABICL_GPU,TabICL_GPU,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,TABM_GPU (default),724.3636562977437,33.95261740684509,0.11535072326660156,rmse,regression,751.4633860156382,False,,config,default,TABM_GPU,TabM_GPU,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,TABM_GPU (tuned),721.9544417024495,4112.244608879089,0.1314229965209961,rmse,regression,740.714815112126,False,,hpo,tuned,TABM_GPU,TabM_GPU,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,TABM_GPU (tuned + ensemble),719.4982051805744,4112.244608879089,1.1210780143737793,rmse,regression,726.3777663910537,False,,hpo,tuned_ensemble,TABM_GPU,TabM_GPU,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,XGB (default),728.5363008858637,3.6051337718963623,0.25308847427368164,rmse,regression,771.6193078345294,False,,config,default,XGB,XGBoost,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,XGB (tuned),704.7691264657134,934.9103429317474,0.1600790023803711,rmse,regression,744.7493619799768,False,,hpo,tuned,XGB,XGBoost,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,XGB (tuned + ensemble),703.2874734302538,934.9103429317474,1.2174780368804932,rmse,regression,731.5832919890441,False,,hpo,tuned_ensemble,XGB,XGBoost,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,TABPFNV2_GPU (default),689.2675634977064,8.611537218093872,0.45940256118774414,rmse,regression,745.7782723887001,False,,config,default,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,TABPFNV2_GPU (tuned),691.3057504436622,7840.223110198975,0.3009166717529297,rmse,regression,737.7982408972323,False,,hpo,tuned,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,TABPFNV2_GPU (tuned + ensemble),684.4739407491046,7840.223110198975,60.49520707130432,rmse,regression,729.0898976747752,False,,hpo,tuned_ensemble,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
Another-Dataset-on-used-Fiat-500,0,EBM (default),716.5004526026838,10.296656847000122,0.02178359031677246,rmse,regression,751.0163997223517,False,,config,default,EBM,ExplainableBM,tabarena-2025-09-03
Another-Dataset-on-used-Fiat-500,0,EBM (tuned),720.7888856414239,3038.5234434604645,0.012974023818969727,rmse,regression,735.3127263212989,False,,hpo,tuned,EBM,ExplainableBM,tabarena-2025-09-03
Another-Dataset-on-used-Fiat-500,0,EBM (tuned + ensemble),711.9699279023017,3038.5234434604645,0.16515254974365234,rmse,regression,720.2633740032802,False,,hpo,tuned_ensemble,EBM,ExplainableBM,tabarena-2025-09-03
Another-Dataset-on-used-Fiat-500,0,TA-LIMIX (default),732.0075242745404,116.40360999107361,10.354819774627686,rmse,regression,786.2438776371815,False,,config,default,TA-LIMIX,LimiX,tabarena-2026-05-13
Another-Dataset-on-used-Fiat-500,0,MITRA_GPU (default),702.6015919021072,72.8113124370575,0.8141472339630127,rmse,regression,746.6165511614943,False,,config,default,MITRA_GPU,Mitra_GPU,tabarena-2025-09-03
Another-Dataset-on-used-Fiat-500,0,REALMLP_GPU (default),711.3060085065583,23.558849811553955,3.9089584350585938,rmse,regression,757.7862372987148,False,,config,default,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
Another-Dataset-on-used-Fiat-500,0,REALMLP_GPU (tuned),702.3571227465733,4352.616802930832,0.3613748550415039,rmse,regression,724.7096009891534,False,,hpo,tuned,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
Another-Dataset-on-used-Fiat-500,0,REALMLP_GPU (tuned + ensemble),690.2745994021611,4352.616802930832,13.098741054534912,rmse,regression,698.1350773879441,False,,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
Another-Dataset-on-used-Fiat-500,0,XRFM_GPU (default),721.7738049804848,7.301844358444214,0.9745583534240723,rmse,regression,791.1416167938663,False,,config,default,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
Another-Dataset-on-used-Fiat-500,0,XRFM_GPU (tuned),702.997921619988,1753.4696905612946,0.035199880599975586,rmse,regression,750.140444109459,False,,hpo,tuned,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
Another-Dataset-on-used-Fiat-500,0,XRFM_GPU (tuned + ensemble),694.4728193660251,1753.4696905612946,1.7488694190979004,rmse,regression,722.6143484881203,False,,hpo,tuned_ensemble,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
Another-Dataset-on-used-Fiat-500,0,BETA_GPU (default),727.2392705679738,0.49889492988586426,0.060329437255859375,rmse,regression,764.3137369787336,True,,config,default,BETA_GPU,BetaTabPFN_GPU,tabarena-2025-09-03
Another-Dataset-on-used-Fiat-500,0,TABFLEX_GPU (default),727.2392705679738,0.49889492988586426,0.060329437255859375,rmse,regression,764.3137369787336,True,,config,default,TABFLEX_GPU,TabFlex_GPU,tabarena-2025-09-03
Another-Dataset-on-used-Fiat-500,0,LR (default),773.1329009383466,3.7122037410736084,0.07108283042907715,rmse,regression,811.5818703824589,False,,config,default,LR,LinearModel,tabarena-2025-10-20
Another-Dataset-on-used-Fiat-500,0,LR (tuned),728.5160420265911,751.5498361587524,0.030185461044311523,rmse,regression,780.6160670419453,False,,hpo,tuned,LR,LinearModel,tabarena-2025-10-20
Another-Dataset-on-used-Fiat-500,0,LR (tuned + ensemble),728.5160420265911,751.5498361587524,0.030185461044311523,rmse,regression,780.6160670419453,False,,hpo,tuned_ensemble,LR,LinearModel,tabarena-2025-10-20
Another-Dataset-on-used-Fiat-500,0,KNN (default),779.6254212236342,0.4096229076385498,0.018808841705322266,rmse,regression,848.6504647294489,False,,config,default,KNN,KNeighbors,tabarena-2025-10-20
Another-Dataset-on-used-Fiat-500,0,KNN (tuned),748.8332724043795,85.47852373123169,0.016537189483642578,rmse,regression,820.6593374034326,False,,hpo,tuned,KNN,KNeighbors,tabarena-2025-10-20
Another-Dataset-on-used-Fiat-500,0,KNN (tuned + ensemble),742.5808702589322,85.47852373123169,0.1946849822998047,rmse,regression,790.4081404461757,False,,hpo,tuned_ensemble,KNN,KNeighbors,tabarena-2025-10-20
Another-Dataset-on-used-Fiat-500,0,"AutoGluon 1.4 (best, 4h)",685.6499990658234,6165.073967456818,2.587834358215332,rmse,regression,691.6547886147345,False,,baseline,,,AutoGluon_v140_bq_4h8c,tabarena-2025-11-01
Another-Dataset-on-used-Fiat-500,0,"AutoGluon 1.5 (extreme, 4h)",685.5096719921012,315.9510426521301,3.5951781272888184,rmse,regression,733.3378767439098,False,,baseline,,,AutoGluon_v150_eq_4h8c,tabarena-2025-12-18
Another-Dataset-on-used-Fiat-500,0,TABDPT_GPU (default),681.9869122034441,38.319655895233154,16.266944408416748,rmse,regression,739.9627015571941,False,,config,default,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
Another-Dataset-on-used-Fiat-500,0,TABDPT_GPU (tuned),687.4641407738321,9675.2691655159,19.072909593582153,rmse,regression,732.5420877830666,False,,hpo,tuned,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
Another-Dataset-on-used-Fiat-500,0,TABDPT_GPU (tuned + ensemble),676.9810301882072,9675.2691655159,127.82195496559143,rmse,regression,727.983284236673,False,,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
Another-Dataset-on-used-Fiat-500,0,REALTABPFN-V2.5 (default),685.7440224082889,7.116997241973877,0.24507904052734375,rmse,regression,748.1475887300456,False,,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
Another-Dataset-on-used-Fiat-500,0,REALTABPFN-V2.5 (tuned),697.4176906057517,2338.874899148941,1.7518715858459473,rmse,regression,742.1940154863127,False,,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
Another-Dataset-on-used-Fiat-500,0,REALTABPFN-V2.5 (tuned + ensemble),687.6317123672046,2338.874899148941,11.773108959197998,rmse,regression,735.150883568035,False,,hpo,tuned_ensemble,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
Another-Dataset-on-used-Fiat-500,0,SAP-RPT-OSS (default),700.5114297125314,19.24477219581604,0.4696357250213623,rmse,regression,742.9853827797625,False,,config,default,SAP-RPT-OSS,SAP-RPT-OSS,tabarena-2025-11-25
Another-Dataset-on-used-Fiat-500,0,TABICLV2 (default),685.946712048121,22.745936632156372,0.912015438079834,rmse,regression,732.0022919680916,False,,config,default,TABICLV2,TabICLv2,tabarena-2026-02-16
Another-Dataset-on-used-Fiat-500,0,TABSTAR (default),792.7249403309239,458.29932832717896,2.64357328414917,rmse,regression,848.3334116813368,False,,config,default,TABSTAR,TabSTAR,tabarena-2026-03-18
Another-Dataset-on-used-Fiat-500,0,TABSTAR (tuned),746.2872607157068,155682.5142390728,2.5939042568206787,rmse,regression,804.9608391577967,False,,hpo,tuned,TABSTAR,TabSTAR,tabarena-2026-03-18
Another-Dataset-on-used-Fiat-500,0,TABSTAR (tuned + ensemble),747.762343873574,155682.5142390728,19.478310585021973,rmse,regression,802.8347139696718,False,,hpo,tuned_ensemble,TABSTAR,TabSTAR,tabarena-2026-03-18
Another-Dataset-on-used-Fiat-500,0,PB (default),732.4573358064699,23.380748510360718,0.011156320571899414,rmse,regression,769.2066052352782,False,,config,default,PB,PerpetualBooster,tabarena-2026-03-18
Another-Dataset-on-used-Fiat-500,0,PB (tuned),713.2262180790435,182.42687058448792,0.06298971176147461,rmse,regression,752.995064254002,False,,hpo,tuned,PB,PerpetualBooster,tabarena-2026-03-18
Another-Dataset-on-used-Fiat-500,0,PB (tuned + ensemble),710.940077466687,182.42687058448792,0.2221827507019043,rmse,regression,751.2720349470824,False,,hpo,tuned_ensemble,PB,PerpetualBooster,tabarena-2026-03-18
Another-Dataset-on-used-Fiat-500,0,TABPFN-V2.6 (default),688.1497199498128,8.650570392608643,0.2793846130371094,rmse,regression,742.7471354532321,False,,config,default,TABPFN-V2.6,TabPFN-v2.6,tabarena-2026-03-18
Another-Dataset-on-used-Fiat-500,0,TA-TABPFN-3 (default),678.4949232126698,14.1542649269104,0.5479264259338379,rmse,regression,729.1639597252957,False,,config,default,TA-TABPFN-3,TabPFN-3,tabarena-2026-05-13
Another-Dataset-on-used-Fiat-500,0,TA-ORION-MSP (default),727.2392705679738,0.49889492988586426,0.060329437255859375,rmse,regression,764.3137369787336,True,,config,default,TA-ORION-MSP,OrionMSP,tabarena-2026-05-13
Another-Dataset-on-used-Fiat-500,0,TA-ILTM (default),728.279304546535,593.9804890155792,132.1659460067749,rmse,regression,773.42688774071,False,,config,default,TA-ILTM,iLTM,tabarena-2026-05-13
Another-Dataset-on-used-Fiat-500,0,TA-ILTM (tuned),717.9549632729774,38137.44625163078,62.561750173568726,rmse,regression,689.4734101247489,False,,hpo,tuned,TA-ILTM,iLTM,tabarena-2026-05-13
